;c;s;cr
3218;2;1;2
3219;1;1;1
3220;1;2;2
3221;1;1;2
3222;2;2;2
3223;1;1;1
3224;1;2;1
3225;2;2;1
3226;1;2;2
3227;2;2;1
3228;1;1;1
3229;2;1;2
3230;1;1;1
3231;1;2;1
3232;2;2;2
3233;1;1;1
3234;1;1;2
3235;1;1;1
3236;2;2;1
3237;2;1;2
3238;2;1;2
3239;2;2;2
3240;1;2;2
3241;1;2;1
3242;1;2;2
3243;2;1;1
3244;2;2;1
3245;1;2;1
3246;1;1;1
3247;1;1;2
3248;1;1;2
3249;1;2;1
3250;1;1;2
3251;1;2;2
3252;2;1;2
3253;1;1;1
3254;1;1;2
3255;2;2;2
3256;2;2;2
3257;2;2;2
3258;2;2;2
3259;1;2;1
3260;1;1;2
3261;2;1;2
3262;1;2;2
3263;1;2;2
3264;1;1;1
3265;1;1;1
3266;1;1;2
3267;1;2;2
3268;1;2;1
3269;2;2;2
3270;2;1;2
3271;2;2;1
3272;2;1;1
3273;1;1;2
3274;1;2;2
3275;1;2;2
3276;1;1;1
3277;2;2;2
3278;1;1;2
3279;1;1;1
3280;1;1;1
3281;2;2;1
3282;2;2;1
3283;2;1;1
3284;2;1;2
3285;2;2;2
3286;1;1;1
3287;2;1;1
3288;1;2;2
3289;2;1;2
3290;2;2;2
3291;1;1;2
3292;1;2;1
3293;1;1;1
3294;2;1;2
3295;1;1;1
3296;2;2;2
3297;2;2;2
3298;2;2;2
3299;1;2;1
3300;1;1;2
3301;1;1;2
3302;2;2;1
3303;2;1;1
3304;1;1;2
3305;2;2;1
3306;1;2;1
3307;1;2;1
3308;1;2;2
3309;1;2;1
3310;2;2;1
3311;2;1;2
3312;1;1;1
3313;1;2;2
3314;2;2;2
3315;1;2;2
3316;2;1;2
3317;1;2;2
3318;1;2;1
3319;1;1;1
3320;2;1;1
3321;1;2;1
3322;2;2;2
3323;1;1;1
3324;2;2;2
3325;2;2;1
3326;1;2;2
3327;2;1;2
3328;2;1;1
3329;1;1;1
3330;2;2;1
3331;2;1;2
3332;2;1;2
3333;1;2;1
3334;2;2;1
3335;2;1;2
3336;2;2;2
3337;1;2;2
3338;1;1;2
3339;2;2;1
3340;2;2;1
3341;2;1;1
3342;1;1;2
3343;2;1;2
3344;1;1;1
3345;2;1;2
3346;1;1;2
3347;2;1;1
3348;2;1;2
3349;1;2;1
3350;1;2;2
3351;2;1;2
3352;1;1;2
3353;2;2;2
3354;1;2;2
3355;1;1;2
3356;2;2;2
3357;1;1;1
3358;1;2;2
3359;1;2;1
3360;1;1;1
3361;2;2;2
3362;1;2;1
3363;2;1;1
3364;1;1;2
3365;1;2;2
3366;1;1;1
3367;1;1;1
3368;2;1;2
3369;2;1;2
3370;1;2;1
3371;1;1;2
3372;1;2;1
3373;2;2;2
3374;1;1;2
3375;2;2;1
3376;2;1;2
3377;2;1;1
3378;1;2;1
3379;1;1;1
3380;2;2;1
3381;2;2;2
3382;1;1;2
3383;2;1;1
3384;1;2;1
3385;1;2;1
3386;1;1;1
3387;2;1;2
3388;2;2;1
3389;1;1;2
3390;1;2;2
3391;1;1;1
3392;2;1;2
3393;2;1;2
3394;1;2;1
3395;1;2;1
3396;1;2;1
3397;1;1;1
3398;2;2;1
3399;2;2;2
3400;2;1;1
3401;1;1;1
3402;2;1;1
3403;1;1;2
3404;2;1;2
3405;2;1;1
3406;1;2;1
3407;2;1;1
3408;1;2;1
3409;1;1;1
3410;2;1;1
3411;2;2;1
3412;1;2;1
3413;1;2;2
3414;1;2;1
3415;2;2;1
3416;1;2;1
3417;1;1;1
3418;2;1;1
3419;1;1;2
3420;2;1;1
3421;2;1;1
3422;2;2;1
3423;1;1;2
3424;2;1;2
3425;1;2;1
3426;1;1;2
3427;2;2;1
3428;1;1;1
3429;2;2;2
3430;2;2;1
3431;2;2;2
3432;1;1;1
3433;2;1;2
3434;2;2;2
3435;2;2;2
3436;2;2;1
3437;2;2;1
3438;2;1;2
3439;1;1;2
3440;1;1;2
3441;2;2;1
3442;1;1;1
3443;1;2;2
3444;1;1;2
3445;2;1;1
3446;2;1;1
3447;2;1;1
3448;2;1;2
3449;2;1;2
3450;1;2;1
3451;2;1;2
3452;2;1;2
3453;2;2;1
3454;1;1;1
3455;2;1;2
3456;1;2;1
3457;1;2;2
3458;1;1;1
3459;1;2;1
3460;2;2;1
3461;1;1;2
3462;1;1;1
3463;2;2;1
3464;1;2;1
3465;2;2;1
3466;2;2;2
3467;2;1;1
3468;1;2;2
3469;1;2;1
3470;1;1;1
3471;2;2;1
3472;1;2;2
3473;2;2;2
3474;1;2;1
3475;2;1;2
3476;2;2;1
3477;2;2;1
3478;2;1;1
3479;2;1;1
3480;2;2;1
3481;2;1;2
3482;1;1;1
3483;2;1;1
3484;2;1;2
3485;2;1;1
3486;1;2;2
3487;1;2;1
3488;2;2;1
3489;2;2;1
3490;1;1;1
3491;2;2;2
3492;1;2;1
3493;1;2;1
3494;1;1;2
3495;2;2;2
3496;1;1;2
3497;1;2;1
3498;1;1;2
3499;2;2;1
3500;1;1;1
3501;1;1;2
3502;2;1;1
3503;1;1;1
3504;1;2;1
3505;1;2;1
3506;2;2;1
3507;2;2;2
3508;1;2;1
3509;2;1;1
3510;1;1;2
3511;1;1;1
3512;1;1;1
3513;1;1;1
3514;1;1;2
3515;2;1;1
3516;2;1;2
3517;2;1;1
3518;2;1;2
3519;2;2;2
3520;2;1;1
3521;2;2;2
3522;2;2;2
3523;1;1;1
3524;2;2;2
3525;2;1;1
3526;2;2;2
3527;1;2;1
3528;2;2;2
3529;2;1;2
3530;1;2;2
3531;1;2;1
3532;2;1;1
3533;1;1;1
3534;2;2;2
3535;2;1;1
3536;2;2;2
3537;2;1;2
3538;2;1;2
3539;2;2;1
3540;1;2;1
3541;1;2;1
3542;1;2;2
3543;1;1;1
3544;2;1;2
3545;1;1;1
3546;2;2;2
3547;1;1;2
3548;2;2;1
3549;2;1;2
3550;2;1;1
3551;2;1;1
3552;1;1;1
3553;1;1;2
3554;1;1;2
3555;1;1;2
3556;2;2;1
3557;1;2;2
3558;2;1;2
3559;1;1;2
3560;1;2;1
3561;1;2;1
3562;1;1;1
3563;2;1;2
3564;2;1;1
3565;1;1;2
3566;1;1;1
3567;2;2;1
3568;1;2;1
3569;1;2;2
3570;2;2;1
3571;1;1;2
3572;2;2;2
3573;1;2;2
3574;1;2;1
3575;1;1;2
3576;1;1;1
3577;1;1;2
3578;2;2;1
3579;1;2;2
3580;2;2;2
3581;1;2;2
3582;1;1;1
3583;1;2;1
3584;2;1;2
3585;2;1;2
3586;2;2;2
3587;2;1;1
3588;1;2;1
3589;2;1;1
3590;2;2;2
3591;2;1;1
3592;2;1;2
3593;2;1;2
3594;1;2;1
3595;2;2;1
3596;2;1;1
3597;1;2;2
3598;2;1;1
3599;2;2;1
3600;1;2;1
3601;1;1;2
3602;2;1;2
3603;1;2;1
3604;2;1;1
3605;2;2;2
3606;1;1;2
3607;2;1;1
3608;1;1;2
3609;2;1;1
3610;1;1;2
3611;1;2;1
3612;2;2;2
3613;1;2;1
3614;2;1;2
3615;2;1;2
3616;1;1;2
3617;2;2;1
3618;1;1;1
3619;1;1;1
3620;2;1;1
3621;2;2;1
3622;1;2;2
3623;1;1;2
3624;2;2;1
3625;2;1;1
3626;2;1;2
3627;2;1;1
3628;2;2;1
3629;1;1;1
3630;2;1;2
3631;1;1;2
3632;2;1;2
3633;2;1;1
3634;1;1;1
3635;1;1;1
3636;2;1;1
3637;1;1;2
3638;2;2;2
3639;2;2;1
3640;2;1;2
3641;2;1;2
3642;1;2;1
3643;2;1;2
3644;1;2;2
3645;1;2;2
3646;1;1;1
3647;2;2;2
3648;2;1;2
3649;2;1;2
3650;2;1;1
3651;2;2;1
3652;2;1;2
3653;1;2;1
3654;2;1;1
3655;1;2;2
3656;2;2;1
3657;1;2;1
3658;1;1;2
3659;1;2;2
3660;2;2;1
3661;1;1;1
3662;1;1;1
3663;2;2;2
3664;2;2;2
3665;1;2;1
3666;2;1;2
3667;2;2;2
3668;2;1;1
3669;1;2;1
3670;2;2;1
3671;2;1;2
3672;1;2;2
3673;1;2;1
3674;1;2;2
3675;1;1;1
3676;1;1;2
3677;2;2;2
3678;2;2;1
3679;1;1;1
3680;2;1;2
3681;1;1;1
3682;2;2;1
3683;1;1;2
3684;1;1;2
3685;1;1;2
3686;1;2;1
3687;2;1;1
3688;1;2;2
3689;2;1;1
3690;1;1;1
3691;2;2;1
3692;1;2;2
3693;2;1;1
3694;1;1;1
3695;1;2;2
3696;1;2;1
3697;1;1;1
3698;2;2;1
3699;1;2;1
3700;2;1;2
3701;2;1;1
3702;1;1;2
3703;1;2;2
3704;1;2;1
3705;2;1;2
3706;2;2;2
3707;2;1;1
3708;2;2;2
3709;2;1;1
3710;1;1;2
3711;2;2;1
3712;2;1;1
3713;1;1;2
3714;2;1;1
3715;1;1;2
3716;1;2;1
3717;2;2;2
3718;2;2;2
3719;2;2;1
3720;2;1;1
3721;2;2;1
3722;1;1;2
3723;2;2;1
3724;1;1;2
3725;1;2;1
3726;1;1;2
3727;2;2;1
3728;1;2;2
3729;1;2;2
3730;1;2;2
3731;2;1;1
3732;1;1;2
3733;1;1;1
3734;1;2;2
3735;1;1;1
3736;1;2;2
3737;2;1;2
3738;2;2;2
3739;2;1;1
3740;2;1;1
3741;2;2;1
3742;2;1;1
3743;2;1;1
3744;1;1;2
3745;1;2;1
3746;1;2;1
3747;2;2;2
3748;1;2;2
3749;2;2;2
3750;1;2;2
3751;2;2;2
3752;1;1;1
3753;2;1;1
3754;1;2;1
3755;2;1;2
3756;2;2;1
3757;1;1;1
3758;1;1;2
3759;1;2;1
3760;1;1;1
3761;1;2;2
3762;2;1;2
3763;1;2;1
3764;2;1;2
3765;1;1;1
3766;1;2;2
3767;1;1;2
3768;1;1;1
3769;2;2;1
3770;1;1;1
3771;2;2;1
3772;1;1;1
3773;2;2;1
3774;1;1;1
3775;2;2;1
3776;2;2;2
3777;2;2;1
3778;1;2;2
3779;2;1;2
3780;1;2;2
3781;2;1;2
3782;1;1;2
3783;1;2;1
3784;1;1;2
3785;2;2;1
3786;1;2;1
3787;1;2;2
3788;1;2;2
3789;1;1;2
3790;2;2;1
3791;2;2;1
3792;1;1;1
3793;2;1;1
3794;1;1;1
3795;2;2;2
3796;2;1;2
3797;2;2;1
3798;2;1;2
3799;2;1;1
3800;1;1;2
3801;2;2;2
3802;1;1;2
3803;2;1;1
3804;2;2;1
3805;1;2;2
3806;1;1;1
3807;2;1;1
3808;1;2;1
3809;2;1;1
3810;1;1;1
3811;1;1;1
3812;1;1;1
3813;1;1;1
3814;1;1;2
3815;2;1;2
3816;2;2;2
3817;1;2;1
3818;2;2;1
3819;2;2;2
3820;1;2;2
3821;1;2;1
3822;2;2;2
3823;2;1;1
3824;1;2;1
3825;1;2;2
3826;2;1;2
3827;2;2;1
3828;2;1;2
3829;2;1;2
3830;2;1;1
3831;1;1;1
3832;1;1;1
3833;1;2;1
3834;1;1;2
3835;2;2;1
3836;1;2;2
3837;1;2;1
3838;1;1;2
3839;1;2;2
3840;1;2;1
3841;1;1;2
3842;1;2;2
3843;2;2;1
3844;2;1;2
3845;1;1;2
3846;1;2;2
3847;1;2;1
3848;2;1;2
3849;1;1;1
3850;1;2;1
3851;1;1;1
3852;2;1;1
3853;1;1;1
3854;1;2;1
3855;1;2;1
3856;2;1;1
3857;1;2;2
3858;1;2;1
3859;1;2;2
3860;1;2;2
3861;1;1;1
3862;2;2;1
3863;2;2;2
3864;1;2;1
3865;2;2;1
3866;2;1;1
3867;1;1;1
3868;2;2;1
3869;2;2;2
3870;1;2;2
3871;1;2;1
3872;1;1;2
3873;1;1;1
3874;1;1;2
3875;1;2;2
3876;1;2;2
3877;2;2;2
3878;1;1;1
3879;1;1;2
3880;1;2;2
3881;2;2;1
3882;1;2;1
3883;2;1;2
3884;2;1;2
3885;1;2;1
3886;1;2;1
3887;1;1;1
3888;1;1;2
3889;2;1;1
3890;1;2;2
3891;1;1;2
3892;2;2;2
3893;2;1;2
3894;2;1;2
3895;1;2;1
3896;2;1;2
3897;1;1;2
3898;1;2;2
3899;2;2;2
3900;1;2;2
3901;1;2;1
3902;2;2;1
3903;2;2;2
3904;1;1;2
3905;1;1;2
3906;1;2;1
3907;2;1;2
3908;1;2;1
3909;2;2;1
3910;1;2;2
3911;2;2;1
3912;1;1;2
3913;1;1;1
3914;2;2;2
3915;1;1;1
3916;2;1;2
3917;2;1;1
3918;2;2;1
3919;2;1;2
3920;2;2;2
3921;1;1;2
3922;2;1;1
3923;2;1;2
3924;1;2;2
3925;2;1;1
3926;1;2;2
3927;1;1;2
3928;1;1;2
3929;2;2;1
3930;1;1;1
3931;1;2;1
3932;1;2;1
3933;1;1;2
3934;1;1;1
3935;2;2;2
3936;2;1;1
3937;1;1;2
3938;1;1;2
3939;1;1;1
3940;2;1;1
3941;2;1;2
3942;1;1;2
3943;1;2;2
3944;1;2;2
3945;1;1;2
3946;1;2;2
3947;1;2;2
3948;2;2;1
3949;2;1;1
3950;2;1;1
3951;1;1;1
3952;1;2;2
3953;2;1;2
3954;2;2;1
3955;1;2;1
3956;2;1;1
3957;2;2;1
3958;1;1;1
3959;2;2;1
3960;2;2;2
3961;2;1;2
3962;1;2;2
3963;1;1;1
3964;1;1;2
3965;2;1;2
3966;2;2;2
3967;1;2;1
3968;1;1;2
3969;1;2;2
3970;2;1;2
3971;1;1;2
3972;1;1;2
3973;1;2;2
3974;1;1;1
3975;2;2;1
3976;2;1;1
3977;1;1;1
3978;2;2;2
3979;2;1;1
3980;2;2;1
3981;1;2;2
3982;2;2;2
3983;1;1;1
3984;1;1;2
3985;2;2;2
3986;1;2;1
3987;1;1;1
3988;2;1;1
3989;1;1;2
3990;2;2;2
3991;2;2;1
3992;1;1;1
3993;1;2;1
3994;2;1;1
3995;2;2;1
3996;2;1;2
3997;1;2;2
3998;1;1;1
3999;1;1;1
4000;1;2;2
4001;2;1;2
4002;1;1;2
4003;1;2;1
4004;1;1;2
4005;2;2;1
4006;1;2;1
4007;2;1;1
4008;1;1;2
4009;2;2;2
4010;1;1;1
4011;2;1;2
4012;1;1;1
4013;1;2;2
4014;1;2;2
4015;1;1;1
4016;1;2;2
4017;1;1;1
4018;1;2;1
4019;1;1;2
4020;2;2;1
4021;1;2;2
4022;1;1;2
4023;2;2;1
4024;1;1;2
4025;2;1;1
4026;2;1;1
4027;1;2;2
4028;2;1;2
4029;1;2;1
4030;2;2;1
4031;1;2;2
4032;1;1;1
4033;2;2;1
4034;2;1;2
4035;2;2;2
4036;2;1;1
4037;1;2;2
4038;1;2;1
4039;1;1;1
4040;2;2;1
4041;1;2;1
4042;1;1;2
4043;2;2;1
4044;2;1;2
4045;2;1;1
4046;2;1;1
4047;1;1;2
4048;1;2;1
4049;2;2;1
4050;1;2;2
4051;1;1;2
4052;2;2;1
4053;2;2;2
4054;2;2;2
4055;1;1;2
4056;2;1;1
4057;1;2;2
4058;1;2;1
4059;1;2;1
4060;2;1;2
4061;1;2;2
4062;2;2;1
4063;2;2;2
4064;1;1;1
4065;1;1;2
4066;2;1;1
4067;1;2;1
4068;2;2;1
4069;1;1;1
4070;1;1;1
4071;2;1;1
4072;2;1;2
4073;2;2;2
4074;2;1;2
4075;1;1;1
4076;1;2;1
4077;1;1;2
4078;2;2;2
4079;2;1;1
4080;2;1;2
4081;1;2;1
4082;2;1;2
4083;2;2;2
4084;1;1;2
4085;1;2;2
4086;1;1;1
4087;1;1;1
4088;1;1;1
4089;1;1;2
4090;1;1;2
4091;1;2;2
4092;1;2;2
4093;2;1;2
4094;1;1;2
4095;1;2;1
4096;2;2;1
4097;1;2;2
4098;2;1;2
4099;2;2;1
4100;1;1;1
4101;2;2;1
4102;2;2;1
4103;1;2;2
4104;2;2;1
4105;1;2;1
4106;2;1;2
4107;1;2;2
4108;1;2;2
4109;1;1;2
4110;1;1;2
4111;1;2;2
4112;1;2;1
4113;2;1;1
4114;1;1;1
4115;1;2;1
4116;2;1;2
4117;1;1;2
4118;1;1;1
4119;1;1;1
4120;1;2;2
4121;2;1;1
4122;2;1;2
4123;2;1;2
4124;1;2;2
4125;2;2;1
4126;2;2;2
4127;1;2;2
4128;1;1;1
4129;2;2;1
4130;2;2;2
4131;1;2;2
4132;1;2;1
4133;2;2;2
4134;2;1;2
4135;2;2;2
4136;1;1;2
4137;2;1;1
4138;2;2;2
4139;1;2;2
4140;1;2;2
4141;2;1;2
4142;1;1;2
4143;1;1;2
4144;2;1;1
4145;1;1;2
4146;1;1;2
4147;2;1;2
4148;2;2;1
4149;1;1;2
4150;2;1;2
4151;2;2;1
4152;2;1;2
4153;1;1;2
4154;1;1;1
4155;2;1;1
4156;1;2;1
4157;1;1;2
4158;1;1;1
4159;1;1;2
4160;2;1;2
4161;2;1;1
4162;2;1;1
4163;1;2;2
4164;1;2;1
4165;2;2;1
4166;1;2;2
4167;1;1;2
4168;2;1;1
4169;2;1;2
4170;2;1;1
4171;2;1;2
4172;2;2;1
4173;1;2;2
4174;1;1;1
4175;1;2;2
4176;2;2;2
4177;1;1;2
4178;2;1;1
4179;1;2;2
4180;2;1;1
4181;1;1;2
4182;1;2;1
4183;1;1;1
4184;2;1;2
4185;1;2;2
4186;2;2;1
4187;2;2;2
4188;2;2;1
4189;1;2;2
4190;2;2;2
4191;1;2;2
4192;1;1;2
4193;2;1;2
4194;2;2;2
4195;1;2;1
4196;2;2;1
4197;1;2;1
4198;2;1;1
4199;2;2;1
4200;1;1;1
4201;2;2;1
4202;2;1;1
4203;2;1;2
4204;2;1;2
4205;2;1;1
4206;1;1;2
4207;1;2;2
4208;2;2;2
4209;2;2;2
4210;2;1;1
4211;2;1;1
4212;1;2;1
4213;2;1;1
4214;2;1;2
4215;1;1;2
4216;2;1;1
4217;2;1;2
4218;1;1;2
4219;2;1;2
4220;1;2;2
4221;2;2;1
4222;1;2;1
4223;1;2;2
4224;2;1;1
4225;2;1;2
4226;1;1;2
4227;2;2;1
4228;2;1;1
4229;1;1;2
4230;2;1;1
4231;1;1;2
4232;2;2;1
4233;1;2;1
4234;2;1;2
4235;1;2;2
4236;2;2;2
4237;2;2;2
4238;2;1;2
4239;1;1;2
4240;2;1;1
4241;1;2;2
4242;2;1;1
4243;1;2;1
4244;2;1;1
4245;1;2;2
4246;1;1;2
4247;2;2;2
4248;1;2;2
4249;1;1;1
4250;2;1;2
4251;2;2;1
4252;1;1;2
4253;1;2;1
4254;2;1;2
4255;2;1;2
4256;2;1;1
4257;2;1;1
4258;1;1;2
4259;1;2;1
4260;2;1;2
4261;1;1;1
4262;2;1;2
4263;1;2;1
4264;2;1;2
4265;1;1;2
4266;2;2;2
4267;1;1;2
4268;2;1;2
4269;2;1;1
4270;2;2;2
4271;2;2;1
4272;2;1;1
4273;2;1;2
4274;2;1;1
4275;2;2;1
4276;1;2;2
4277;1;2;1
4278;1;1;2
4279;2;1;2
4280;1;2;2
4281;1;1;2
4282;2;1;2
4283;2;2;1
4284;2;2;1
4285;1;2;1
4286;1;2;1
4287;1;1;2
4288;2;2;2
4289;1;1;1
4290;1;2;1
4291;2;1;1
4292;2;2;1
4293;1;1;2
4294;1;1;2
4295;1;1;1
4296;2;1;1
4297;1;1;2
4298;1;1;1
4299;2;1;1
4300;1;1;2
4301;1;2;2
4302;1;2;1
4303;1;1;1
4304;2;2;1
4305;2;1;2
4306;2;2;2
4307;2;2;2
4308;1;2;2
4309;1;1;2
4310;2;1;1
4311;2;2;1
4312;1;2;1
4313;1;2;1
4314;2;1;2
4315;1;1;1
4316;2;1;2
4317;2;1;2
4318;2;1;2
4319;2;2;2
4320;2;1;2
4321;2;1;2
4322;2;2;2
4323;2;1;2
4324;2;1;1
4325;1;1;2
4326;2;1;2
4327;1;1;1
4328;1;1;2
4329;1;1;2
4330;1;2;2
4331;2;1;1
4332;2;1;2
4333;1;2;1
4334;2;2;1
4335;1;2;1
4336;1;1;1
4337;2;2;1
4338;2;1;2
4339;1;1;2
4340;2;2;1
4341;2;1;1
4342;1;1;1
4343;1;2;2
4344;1;1;1
4345;1;1;1
4346;2;2;1
4347;2;2;1
4348;1;2;2
4349;1;1;1
4350;2;2;2
4351;1;2;2
4352;2;1;1
4353;2;2;1
4354;1;2;1
4355;1;1;2
4356;2;2;2
4357;2;2;1
4358;1;2;2
4359;1;2;2
4360;1;2;1
4361;1;1;2
4362;2;2;2
4363;1;1;1
4364;1;1;2
4365;1;1;2
4366;1;1;1
4367;1;1;2
4368;1;1;1
4369;1;2;2
4370;2;2;2
4371;1;2;2
4372;2;1;1
4373;1;1;1
4374;2;1;2
4375;1;1;1
4376;2;2;2
4377;1;2;1
4378;2;1;1
4379;1;1;2
4380;2;2;2
4381;1;1;2
4382;1;1;2
4383;2;2;1
4384;1;1;1
4385;1;1;2
4386;1;2;1
4387;2;1;1
4388;2;1;1
4389;1;2;1
4390;1;1;1
4391;2;1;1
4392;1;2;1
4393;1;2;2
4394;1;1;2
4395;2;2;2
4396;2;2;2
4397;1;2;1
4398;2;2;1
4399;1;2;2
4400;1;1;2
4401;2;1;1
4402;1;1;1
4403;2;1;1
4404;1;1;2
4405;1;2;2
4406;2;2;2
4407;2;2;2
4408;2;2;2
4409;2;1;2
4410;2;2;2
4411;2;2;1
4412;1;2;1
4413;1;1;2
4414;1;1;2
4415;2;2;2
4416;2;1;1
4417;1;2;1
4418;2;1;1
4419;1;1;1
4420;1;2;1
4421;2;2;1
4422;1;1;2
4423;1;2;2
4424;2;2;2
4425;2;1;2
4426;1;1;1
4427;1;1;2
4428;2;1;1
4429;2;2;2
4430;1;2;1
4431;1;2;2
4432;1;2;2
4433;2;1;1
4434;1;2;1
4435;1;1;1
4436;2;1;1
4437;1;1;1
4438;1;1;1
4439;1;1;2
4440;2;2;2
4441;1;2;1
4442;2;1;2
4443;2;2;2
4444;1;1;1
4445;2;1;2
4446;1;1;1
4447;2;1;1
4448;1;1;2
4449;1;2;1
4450;1;1;1
4451;1;1;2
4452;2;1;1
4453;2;2;1
4454;2;2;2
4455;1;1;2
4456;1;2;2
4457;1;1;1
4458;2;2;2
4459;2;2;2
4460;2;2;1
4461;1;1;1
4462;2;1;1
4463;1;2;2
4464;1;2;2
4465;2;2;1
4466;2;1;1
4467;2;1;1
4468;1;1;1
4469;2;2;1
4470;2;2;2
4471;2;2;2
4472;1;2;1
4473;1;1;2
4474;2;1;1
4475;1;2;1
4476;2;1;2
4477;2;2;2
4478;2;2;1
4479;2;1;1
4480;2;2;2
4481;1;1;1
4482;2;2;1
4483;1;2;1
4484;2;2;1
4485;2;1;1
4486;1;1;2
4487;2;2;2
4488;1;1;1
4489;2;2;1
4490;2;1;1
4491;2;2;1
4492;1;1;1
4493;2;2;2
4494;2;1;1
4495;2;2;1
4496;1;1;2
4497;1;1;2
4498;1;1;2
4499;2;1;1
4500;2;2;1
4501;2;1;1
4502;1;2;2
4503;1;1;2
4504;1;1;1
4505;2;2;2
4506;2;1;2
4507;2;2;1
4508;1;2;2
4509;2;1;2
4510;2;1;2
4511;2;1;1
4512;2;1;2
4513;1;1;1
4514;2;1;2
4515;2;1;1
4516;1;2;2
4517;2;2;1
4518;1;2;1
4519;2;2;2
4520;1;2;2
4521;2;1;1
4522;2;1;1
4523;2;1;2
4524;2;2;2
4525;2;1;2
4526;1;1;1
4527;1;2;2
4528;1;1;2
4529;1;1;2
4530;2;2;1
4531;1;1;2
4532;1;1;2
4533;1;1;1
4534;2;2;2
4535;1;1;1
4536;2;1;1
4537;1;2;2
4538;2;2;1
4539;2;2;2
4540;2;2;2
4541;1;2;1
4542;2;1;1
4543;2;1;2
4544;2;1;1
4545;1;2;1
4546;2;2;2
4547;1;2;1
4548;2;2;1
4549;1;1;1
4550;1;1;2
4551;2;2;1
4552;1;1;2
4553;2;1;2
4554;1;1;2
4555;1;1;2
4556;2;2;2
4557;1;2;2
4558;1;2;1
4559;1;2;2
4560;1;2;1
4561;1;1;1
4562;2;1;1
4563;2;2;2
4564;1;2;2
4565;2;1;2
4566;1;2;1
4567;2;2;1
4568;1;1;2
4569;2;2;1
4570;1;1;2
4571;1;1;2
4572;1;1;2
4573;1;2;2
4574;2;2;1
4575;2;2;2
4576;1;1;1
4577;1;2;1
4578;2;1;1
4579;2;1;2
4580;2;2;1
4581;2;1;2
4582;1;2;1
4583;1;2;1
4584;2;2;1
4585;2;1;2
4586;1;1;2
4587;2;1;2
4588;2;2;2
4589;1;2;2
4590;1;1;2
4591;1;1;1
4592;1;1;1
4593;2;1;1
4594;2;2;2
4595;1;2;2
4596;1;2;1
4597;2;2;2
4598;2;2;1
4599;2;1;2
4600;2;1;2
4601;1;2;1
4602;2;1;2
4603;1;1;2
4604;1;1;1
4605;2;2;2
4606;1;2;1
4607;1;2;1
4608;2;2;1
4609;1;1;1
4610;1;1;2
4611;2;2;2
4612;2;1;2
4613;2;2;1
4614;1;1;1
4615;2;2;2
4616;1;1;1
4617;2;1;2
4618;2;2;1
4619;2;1;1
4620;2;2;1
4621;2;2;1
4622;2;1;1
4623;2;2;2
4624;2;2;1
4625;1;1;1
4626;1;1;2
4627;1;2;2
4628;2;1;2
4629;1;2;2
4630;2;2;1
4631;1;2;1
4632;2;2;2
4633;2;1;2
4634;2;1;1
4635;2;1;2
4636;2;2;2
4637;2;1;1
4638;1;2;1
4639;1;2;2
4640;2;1;1
4641;1;2;1
4642;1;1;2
4643;1;2;1
4644;2;2;2
4645;2;1;1
4646;2;1;2
4647;2;2;1
4648;2;1;2
4649;1;1;2
4650;2;2;1
4651;2;2;2
4652;2;1;2
4653;1;2;2
4654;2;1;2
4655;2;2;1
4656;1;2;1
4657;2;1;1
4658;1;1;2
4659;2;1;2
4660;1;1;2
4661;1;2;2
4662;2;1;1
4663;2;1;1
4664;2;1;2
4665;2;1;1
4666;1;2;2
4667;2;1;2
4668;1;1;2
4669;2;2;2
4670;1;1;1
4671;2;1;1
4672;2;1;1
4673;1;1;1
4674;2;2;1
4675;1;1;2
4676;2;2;1
4677;1;2;2
4678;1;1;2
4679;1;1;1
4680;2;2;1
4681;1;1;1
4682;1;2;1
4683;2;1;1
4684;2;2;2
4685;1;1;1
4686;1;1;1
4687;2;2;2
4688;1;2;1
4689;1;2;2
4690;1;1;1
4691;1;1;2
4692;1;1;1
4693;1;2;1
4694;2;2;2
4695;2;2;2
4696;1;1;2
4697;2;2;1
4698;2;2;2
4699;1;1;2
4700;1;1;1
4701;2;1;1
4702;1;2;1
4703;1;2;1
4704;2;1;2
4705;2;1;1
4706;2;2;1
4707;1;2;2
4708;2;1;1
4709;1;2;1
4710;2;1;1
4711;2;1;1
4712;2;1;1
4713;2;1;1
4714;2;2;1
4715;1;2;1
4716;1;2;2
4717;2;2;2
4718;2;2;1
4719;2;1;1
4720;1;2;1
4721;2;1;2
4722;2;1;1
4723;2;1;2
4724;1;1;2
4725;1;2;2
4726;1;1;2
4727;1;1;2
4728;1;1;2
4729;2;1;1
4730;1;2;2
4731;2;2;2
4732;1;1;1
4733;1;1;1
4734;1;1;1
4735;1;1;2
4736;2;2;1
4737;2;1;2
4738;1;1;2
4739;1;1;2
4740;2;1;1
4741;1;1;2
4742;2;2;1
4743;2;2;2
4744;1;1;2
4745;2;2;1
4746;2;2;1
4747;1;2;2
4748;2;1;2
4749;2;2;2
4750;2;1;1
4751;2;1;1
4752;1;2;2
4753;1;2;1
4754;2;1;2
4755;1;2;1
4756;1;2;1
4757;2;1;2
4758;2;1;2
4759;1;2;2
4760;1;2;2
4761;1;1;2
4762;1;2;2
4763;1;2;1
4764;1;1;2
4765;2;1;2
4766;2;1;2
4767;2;2;2
4768;2;2;2
4769;1;1;1
4770;1;2;1
4771;1;1;2
